Date Digest-count Manifest2-count Total-count Digest-size Manifest2-size Total-size
2000-08 2 0 2 0 0 0
2000-09 426 0 426 0 0 0
2000-10 466 0 466 0 0 0
2000-11 469 0 469 0 0 0
2000-12 619 0 619 0 0 0
2001-01 590 0 590 0 0 0
2001-02 677 0 677 0 0 0
2001-03 807 0 806 0 0 0
2001-04 908 0 906 0 0 0
2001-05 791 0 791 0 0 0
2001-06 954 0 954 0 0 0
2001-07 1027 0 1027 0 0 0
2001-08 1206 0 1206 0 0 0
2001-09 1367 0 1367 0 0 0
2001-10 1512 0 1512 152576 0 152576
2001-11 1446 0 1446 2275487744 0 2275487744
2001-12 1556 0 1556 2479986688 0 2479986688
2002-01 1736 0 1736 2861654016 0 2861654016
2002-02 2058 0 2058 3478650097 0 3478650097
2002-03 2194 0 2194 3687347149 0 3687347149
2002-04 2145 0 2145 3395181544 0 3395181544
2002-05 2445 0 2445 4166352353 0 4166352353
2002-06 2947 0 2947 5082886228 0 5082886228
2002-07 3222 0 3222 5230883796 0 5230883796
2002-08 3244 0 3244 4970423584 0 4970423584
2002-09 3744 0 3744 5822016080 0 5822016080
2002-10 3943 0 3943 6367451033 0 6367451033
2002-11 4830 0 4830 8025289495 0 8025289495
2002-12 5616 0 5616 9904585152 0 9904585152
2003-01 6167 0 6167 10403991121 0 10403991121
2003-02 6584 0 6584 11446146241 0 11446146241
2003-03 7073 0 7073 11545211337 0 11545211337
2003-04 7594 0 7594 12297097412 0 12297097412
2003-05 8042 0 8042 13126011999 0 13126011999
2003-06 8374 0 8374 13562652245 0 13562652245
2003-07 9042 0 9042 14032678563 0 14032678563
2003-08 9701 0 9701 14754953093 0 14754953093
2003-09 10371 0 10371 16288164211 0 16288164211
2003-10 11120 0 11120 21075262594 0 21075262594
2003-11 11557 0 11557 24061916481 0 24061916481
2003-12 12107 0 12107 26105916843 0 26105916843
2004-01 12516 0 12516 27374890840 0 27374890840
2004-02 12926 0 12926 26950327380 0 26950327380
2004-03 13398 0 13398 29336946695 0 29336946695
2004-04 14036 0 14036 30758932223 0 30758932223
2004-05 14299 0 14299 31504222736 0 31504222736
2004-06 14870 0 14870 31856494201 0 31856494201
2004-07 15571 0 15571 34224311237 0 34224311237
2004-08 16374 0 16374 36544590939 0 36544590939
2004-09 17098 0 17098 38732420227 0 38732420227
2004-10 17532 0 17532 38170804176 0 38170804176
2004-11 17902 0 17902 39822056611 0 39822056611
2004-12 17816 0 17816 41163671863 0 41163671863
2005-01 18320 0 18320 43839930738 0 43839930738
2005-02 18763 0 18763 44333366154 0 44333366154
2005-03 19266 0 19266 45497211987 0 45497211987
2005-04 19742 0 19742 46556169136 0 46556169136
2005-05 19509 0 19509 45889653718 0 45889653718
2005-06 19958 0 19958 47799943321 0 47799943321
2005-07 20090 0 20090 49164661820 0 49164661820
2005-08 20243 0 20243 50838747936 0 50838747936
2005-09 20890 0 20890 51094489744 0 51094489744
2005-10 21111 0 21111 55047659309 0 55047659309
2005-11 21666 0 21666 56914829730 0 56914829730
2005-12 22080 0 22080 57270147971 0 57270147971
2006-01 22279 0 22279 60330594976 0 60330594976
2006-02 22760 0 22760 59547978734 0 59547978734
2006-03 23058 0 23058 62110949537 0 62110949537
2006-04 23584 0 23584 63080796242 0 63080796242
2006-05 24070 4716 24072 64168503025 12076555677 64171945111
2006-06 24435 7752 24442 69140966154 29295801276 69150627205
2006-07 24784 11610 24791 70056906952 45739794585 70059057968
2006-08 24802 14723 24803 69397350334 49522069528 69397744128
2006-09 25045 16477 25046 71170489149 53197639250 71170882943
2006-10 25480 18456 25482 72218958527 60891341914 72219039912
2006-11 25181 19633 25183 73907318858 67392781190 73907360728
2006-12 24952 20624 24957 73631663287 68748382304 73634714026
2007-01 24861 21134 24866 75165018100 70945526566 75167125955
2007-02 24307 21161 24313 75809227289 73555744746 75811353961
2007-03 24364 24373 24411 74832494452 75159073170 75280547227
2007-04 24601 24629 24652 73834083183 74235847270 74307117308
2007-05 24773 24802 24825 74052026576 74435897395 74507167433
2007-06 25305 25336 25358 76685707286 77092290679 77141442140
2007-07 25232 25325 25349 78475351606 78963438324 79013908100
2007-08 25315 25394 25416 78390294430 78810680399 78859831860
2007-09 25301 25349 25372 79420593103 79919796443 79969324988
2007-10 25367 25428 25451 80238470403 80752523818 80801883628
2007-11 27069 27112 27138 82902032281 83347833858 83400631715
2007-12 27052 27123 27149 83666127980 84097615461 84150413318
2008-01 27326 27379 27401 85633502188 86075573021 86124724482
2008-02 22 27358 27380 49151461 87877607699 87926759160
2008-03 26 27145 27167 53840641 89580485640 89629637101
2008-04 30 27218 27241 55384347 93042319589 93093112686
2008-05 22 27486 27508 49151461 91953868290 92003019751
2008-06 22 27706 27728 49151461 94867736160 94916887621
2008-07 22 27608 27630 49151461 96326162606 96375314067
2008-08 22 27856 27878 49151461 98666415336 98715566797
2008-09 22 27985 28007 49151461 102057798073 102106949534
2008-10 22 31754 31776 49151461 108943237152 108992388613
2008-11 22 32030 32052 49151461 110340223816 110389375277
2008-12 22 32160 32182 49151461 112803303996 112852455457
2009-01 22 32034 32056 49151461 112790329218 112839480679
2009-02 22 32274 32296 49151461 114413966217 114463117678
2009-03 22 32527 32549 49151461 113221790576 113270942037
2009-04 22 32834 32856 49151461 113988086087 114037237548
2009-05 22 33215 33237 49151461 118928472582 118977624043
2009-06 22 31684 31706 49151461 122953779695 123002931156
2009-07 22 31674 31696 49151461 124381366532 124430517993
2009-08 22 31696 31718 49151461 125709743182 125758894643
2009-09 22 31870 31892 49151461 129739612763 129788764224
2009-10 22 31663 31685 49151461 127785759480 127834910941
2009-11 22 31768 31790 49151461 130080490888 130129642349
2009-12 22 31543 31565 49151461 126516508203 126565659664
2010-01 22 31399 31421 49151461 126858291346 126907442807
2010-02 22 35639 35661 49151461 132124546440 132173697901
2010-03 22 35999 36021 49151461 136336030726 136385182187
2010-04 22 36795 36817 49151461 138017212599 138066364060
2010-05 22 36536 36558 49151461 134357895112 134407046573
2010-06 22 36596 36618 49151461 142008966628 142058118089
2010-07 22 36612 36634 49151461 141431945208 141481096669
2010-08 22 36243 36265 49151461 141615349525 141664500986
2010-09 22 36151 36173 49151461 140304209447 140353360908
2010-10 22 36464 36486 49151461 142871544694 142920696155
2010-11 22 41008 41030 49151461 143890099313 143939250774
2010-12 22 40887 40909 49151461 142298970362 142348121823
2011-01 22 40965 40987 49151461 145117631651 145166783112
2011-02 22 41165 41187 49151461 151386755463 151435906924
