Date Removals Additions
2000-09 0 0
2000-10 0 0
2000-11 0 0
2000-12 0 0
2001-01 0 0
2001-02 0 0
2001-03 0 0
2001-04 0 0
2001-05 0 0
2001-06 0 0
2001-07 0 0
2001-08 0 0
2001-09 0 0
2001-10 0 152576
2001-11 152576 2275487744
2001-12 203851776 408350720
2002-01 167888896 549556224
2002-02 2417315840 3034311921
2002-03 273766469 482463521
2002-04 688542501 396376896
2002-05 516817215 1287988024
2002-06 417255004 1333788879
2002-07 592822296 740819864
2002-08 1499550685 1239090473
2002-09 364736225 1216328721
2002-10 308704667 854139620
2002-11 144498170 1802336632
2002-12 525847228 2405142885
2003-01 1520983586 2020389555
2003-02 1242262662 2284417782
2003-03 1558860729 1657925825
2003-04 1128431790 1880317865
2003-05 1046472051 1875386638
2003-06 744881054 1181521300
2003-07 1130591403 1600617721
2003-08 1340020954 2062295484
2003-09 729149023 2262360141
2003-10 3264465761 8051564144
2003-11 2429891475 5416545362
2003-12 1075536673 3119537035
2004-01 1260791629 2529765626
2004-02 3472097885 3047534425
2004-03 2745206194 5131825509
2004-04 1898263047 3320248575
2004-05 2506103765 3251394278
2004-06 1540666258 1892937723
2004-07 1540451609 3908268645
2004-08 1303503789 3623783491
2004-09 2039309915 4227139203
2004-10 3068437544 2506821493
2004-11 2179352951 3830605386
2004-12 3680042976 5021658228
2005-01 3295054940 5971313815
2005-02 2926461254 3419896670
2005-03 3085646424 4249492257
2005-04 2855496911 3914454060
2005-05 5184482727 4517967309
2005-06 2677746875 4588036478
2005-07 2515539644 3880258143
2005-08 4776074219 6450160335
2005-09 3825385880 4081127688
2005-10 2368773117 6321942682
2005-11 3622646681 5489817102
2005-12 3785447838 4140766079
2006-01 2267548519 5327995524
2006-02 4332842707 3550226465
2006-03 1527155118 4090125921
2006-04 4342526216 5312372921
2006-05 2336513322 3427662191
2006-06 2215415777 7194097871
2006-07 5764764167 6673194930
2006-08 6365182843 5703869003
2006-09 1429802239 3202941054
2006-10 7424736255 8472893224
2006-11 5374573818 7062894634
2006-12 6394618686 6121971984
2007-01 4677704979 6210116908
2007-02 6357386784 7001614790
2007-03 4234050033 3703243299
2007-04 5272587856 4299157937
2007-05 3849422004 4049472129
2007-06 2157131509 4791406216
2007-07 3938947615 5811413575
2007-08 4636443151 4482366911
2007-09 4214422741 5323915869
2007-10 4624787235 5457345875
2007-11 2883264247 5482012334
2007-12 4517706967 5267488570
2008-01 4251078657 6225389821
2008-02 4097575601 5899610279
2008-03 5207252406 6910130347
2008-04 5180836679 8644312264
2008-05 5803438762 4713345827
2008-06 4152847436 7066715306
2008-07 5673648978 7132075424
2008-08 3676215859 6016468589
2008-09 4106517426 7497900163
2008-10 6447541839 13332980918
2008-11 7360131111 8757117775
2008-12 3225369465 5688449645
2009-01 6436865177 6423890399
2009-02 5631485046 7255122045
2009-03 8404449432 7212273791
2009-04 5947231177 6713526688
2009-05 7572125492 12512511987
2009-06 8316413735 12341720848
2009-07 6035495427 7463082264
2009-08 5382277571 6710654221
2009-09 5389837847 9419707428
2009-10 16447691918 14493838635
2009-11 15679033028 17973764436
2009-12 10093647486 6529664801
2010-01 7448560324 7790343467
2010-02 6236475771 11502730865
2010-03 9063514720 13274999006
2010-04 6734110314 8415292187
2010-05 11378592224 7719274737
2010-06 6908268373 14559339889
2010-07 12934657159 12357635739
2010-08 7260142479 7443546796
2010-09 6904819972 5593679894
2010-10 5889870406 8457205653
2010-11 6229461257 7248015876
2010-12 7872928376 6281799425
2011-01 4215815387 7034476676
2011-02 6356772807 12625896619
2011-03 10050167444 9149145772
2011-04 11907380632 17398399129
2011-05 7780945337 10454199602
2011-06 4169475917 7541793005
2011-07 5620392120 9485332058
2011-08 12123791491 12647976198
2011-09 16801856556 14583942657
2011-10 6881135635 8659620117
2011-11 14125473892 9052763834
2011-12 6342185222 9541319328
2012-01 8950136267 11844711452
2012-02 8512035614 11443435124
2012-03 15902500436 16632357029
2012-04 11435185792 14589133980
2012-05 11866964543 19747969075
2012-06 24329364598 26106326971
2012-07 34656040692 21813898444
2012-08 12676713037 12037374989
2012-09 9311196606 24180969115
2012-10 24210309886 13123497328
2012-11 9153596359 13154061026
2012-12 12424389444 23659226879
2013-01 33138826796 29678030611
2013-02 17024376055 14595714027
2013-03 12397853841 20005321520
2013-04 11806303342 24475537318
