hash count mean4 stdev4 median4 min4 max4 mean8 stdev8 median8 min8 max8
2000-08 2 1 0.0 1.0 1 1 1 0.0 1.0 1 1
2000-09 426 26.625 3.5333235062756425 26.5 21 33 2.018957345971564 0.9974473833445168 2 1 5
2000-10 466 29.125 3.7228181529588578 28.5 25 38 2.1376146788990824 1.1289996376451494 2.0 1 6
2000-11 469 29.3125 4.026765916961153 27.5 25 40 2.131818181818182 1.193119045967853 2.0 1 8
2000-12 619 38.6875 5.4396547454778785 39.0 31 51 2.703056768558952 1.4832512680892094 2 1 9
2001-01 590 36.875 5.56636101955308 36.5 23 47 2.6222222222222222 1.3709508280166383 2 1 8
2001-02 677 42.3125 6.506907387538261 42.0 31 56 2.9434782608695653 1.5212483680692963 3.0 1 9
2001-03 805 50.3125 6.770512812926359 49.0 35 63 3.3541666666666665 1.6366834265944312 3.0 1 9
2001-04 906 56.625 7.389815626928726 55.5 44 70 3.6979591836734693 1.8111322195525579 3 1 10
2001-05 791 49.4375 7.176077880708932 49.0 36 66 3.2154471544715446 1.6174622560190932 3.0 1 9
2001-06 954 59.625 7.235977819203152 59.0 45 75 3.8313253012048194 1.7686648501088191 4 1 10
2001-07 1025 64.0625 8.377564905746777 64.0 50 86 4.051383399209486 1.9237767694144357 4 1 10
2001-08 1207 75.4375 8.139170335482603 74.0 62 96 4.751968503937008 2.0898837851010925 5.0 1 11
2001-09 1372 85.75 8.15858443604036 86.5 70 101 5.359375 2.236886700164986 5.0 1 12
2001-10 1521 95.0625 8.481367445760148 94.0 82 111 5.94140625 2.338637001003135 6.0 1 12
2001-11 1461 91.3125 7.564049428051089 92.5 74 105 5.70703125 2.3427308982304043 6.0 1 14
2001-12 1566 97.875 5.577577879330776 97.5 89 107 6.1171875 2.363859046103162 6.0 1 14
2002-01 1746 109.125 8.161456671452713 108.0 97 125 6.8203125 2.56000974653296 6.5 2 14
2002-02 2024 126.5 7.960841664045329 126.5 111 139 7.90625 2.752662063802965 8.0 1 16
2002-03 2145 134.0625 9.503083381197914 135.0 114 154 8.37890625 2.792460618112803 8.0 2 16
2002-04 2100 131.25 9.276987657639737 132.5 115 150 8.203125 2.8183532841670154 8.0 2 16
2002-05 2407 150.4375 11.25815676520806 147.0 133 174 9.40234375 3.078122521413977 9.0 3 18
2002-06 2912 182 9.63716763369819 181.0 166 198 11.375 3.1696805832764916 11.0 4 21
2002-07 3213 200.8125 11.775072982788684 200.5 181 231 12.55078125 3.1926061085966175 13.0 4 20
2002-08 3233 202.0625 14.372146455905604 203.0 180 231 12.62890625 3.474092784988757 13.0 4 22
2002-09 3734 233.375 15.01197438713509 233.5 208 263 14.5859375 3.7749738073387675 15.0 5 25
2002-10 3933 245.8125 13.276947832615747 243.5 228 267 15.36328125 3.8146586326168737 15.0 5 27
2002-11 4816 301 14.252192813739224 296.5 284 331 18.8125 4.070185038791234 18.0 9 31
